Node_ID,Top_1,Top_2,Top_3,Top_4,Top_5
7840,"(5474, 0.942998468875885)","(5473, 0.9429478645324707)","(5472, 0.9355694055557251)","(3149, 0.9349510669708252)","(7166, 0.9308189153671265)"
7841,"(1707, 0.6434009075164795)","(1708, 0.6414594650268555)","(976, 0.6346071362495422)","(974, 0.6342458128929138)","(17039, 0.6322919726371765)"
7842,"(1707, 0.6433725953102112)","(1708, 0.6415804624557495)","(976, 0.6345740556716919)","(974, 0.6342087388038635)","(17039, 0.6323760747909546)"
7844,"(2098, 0.6423242092132568)","(2831, 0.6366751194000244)","(5634, 0.6357772350311279)","(2099, 0.6357308030128479)","(5636, 0.6333099007606506)"
7845,"(2098, 0.6441047787666321)","(2831, 0.6380064487457275)","(2099, 0.6375293135643005)","(5634, 0.6367917656898499)","(5636, 0.6344964504241943)"
7846,"(2098, 0.6507643461227417)","(2831, 0.644377589225769)","(2099, 0.6442884802818298)","(5634, 0.64266037940979)","(12892, 0.6402779221534729)"
7847,"(2098, 0.6439247727394104)","(2831, 0.6374884247779846)","(2099, 0.636996328830719)","(5634, 0.6359806656837463)","(5636, 0.6338062882423401)"
7848,"(2098, 0.6430646777153015)","(2831, 0.6373893618583679)","(2099, 0.6362264156341553)","(5634, 0.6356878280639648)","(4066, 0.6333558559417725)"
7849,"(2098, 0.644798994064331)","(2831, 0.6392015218734741)","(2099, 0.6381450295448303)","(5634, 0.6380254030227661)","(5636, 0.6358071565628052)"
7850,"(2098, 0.6424834728240967)","(2831, 0.6377323865890503)","(5634, 0.6357763409614563)","(2099, 0.6352991461753845)","(12892, 0.6337080597877502)"
7851,"(2098, 0.6468468308448792)","(2831, 0.6418215036392212)","(2099, 0.6401478052139282)","(5634, 0.639041006565094)","(12892, 0.6374275088310242)"
7853,"(1707, 0.6515405178070068)","(958, 0.6479740738868713)","(1708, 0.646923303604126)","(14523, 0.6462098360061646)","(959, 0.6445353031158447)"
7854,"(1707, 0.6490412950515747)","(958, 0.645936906337738)","(1708, 0.6441882252693176)","(14523, 0.6438820362091064)","(959, 0.6423400044441223)"
7855,"(1707, 0.6489278078079224)","(958, 0.6453279852867126)","(1708, 0.6442432999610901)","(14523, 0.6434829235076904)","(959, 0.641943097114563)"
7856,"(1707, 0.6492441892623901)","(958, 0.6462213397026062)","(1708, 0.6445314288139343)","(14523, 0.6442276835441589)","(959, 0.6427903771400452)"
7857,"(1707, 0.6502714157104492)","(958, 0.6459828615188599)","(1708, 0.6453187465667725)","(14523, 0.6450939774513245)","(959, 0.6425259709358215)"
7858,"(3909, 0.6440759897232056)","(3911, 0.6432886719703674)","(3908, 0.6432221531867981)","(3910, 0.6404586434364319)","(559, 0.6369234323501587)"
7859,"(3909, 0.6437748670578003)","(3911, 0.643377423286438)","(3908, 0.643104612827301)","(3910, 0.6402658224105835)","(559, 0.6359597444534302)"
7860,"(559, 0.6365500688552856)","(3909, 0.6356214880943298)","(3911, 0.6353970170021057)","(3908, 0.6349800825119019)","(558, 0.6337899565696716)"
7861,"(3909, 0.6427652835845947)","(3911, 0.6422745585441589)","(3908, 0.6418650150299072)","(3910, 0.6394473910331726)","(559, 0.6363250017166138)"
7862,"(559, 0.6378762722015381)","(3909, 0.6376278400421143)","(3911, 0.6372935771942139)","(3908, 0.6368411779403687)","(558, 0.6351319551467896)"
7863,"(3909, 0.6391775608062744)","(3911, 0.6386476159095764)","(3908, 0.6385086178779602)","(3910, 0.6355860829353333)","(559, 0.6354090571403503)"
7864,"(14519, 0.8609669208526611)","(907, 0.8562324047088623)","(1795, 0.8559117913246155)","(438, 0.8529842495918274)","(295, 0.8501936197280884)"
7865,"(16830, 0.9325225353240967)","(16829, 0.9231348037719727)","(16832, 0.9230143427848816)","(16831, 0.9223793148994446)","(16828, 0.9035182595252991)"
7866,"(16830, 0.9338287711143494)","(16832, 0.9284059405326843)","(16831, 0.9278767704963684)","(16829, 0.9243801236152649)","(16828, 0.9045591354370117)"
7867,"(16830, 0.939076840877533)","(16832, 0.9299107193946838)","(16831, 0.9292008876800537)","(16829, 0.9266862273216248)","(16828, 0.9072650671005249)"
7868,"(16830, 0.9328237771987915)","(16832, 0.9266936182975769)","(16831, 0.9255276322364807)","(16829, 0.9234403967857361)","(16828, 0.9050054550170898)"
7869,"(16830, 0.9378203749656677)","(16831, 0.9336272478103638)","(16832, 0.9325079321861267)","(16829, 0.9316943883895874)","(16828, 0.9143657088279724)"
7870,"(16830, 0.9375702738761902)","(16831, 0.9336543679237366)","(16832, 0.9315097332000732)","(16829, 0.9286509156227112)","(16828, 0.9091339111328125)"
7871,"(17713, 0.6485770344734192)","(17714, 0.6483842730522156)","(5672, 0.6440208554267883)","(12884, 0.6437821984291077)","(12885, 0.6436636447906494)"
7872,"(17713, 0.6442133188247681)","(17714, 0.6439592838287354)","(12884, 0.6395490765571594)","(12885, 0.6395077109336853)","(5672, 0.6387627720832825)"
7873,"(17713, 0.6432768702507019)","(17714, 0.6428520083427429)","(12885, 0.6385509371757507)","(12884, 0.6383918523788452)","(9684, 0.6379668116569519)"
7874,"(17713, 0.6504645943641663)","(17714, 0.6499916911125183)","(12885, 0.6445100903511047)","(12884, 0.6443415284156799)","(5672, 0.644332766532898)"
7875,"(17713, 0.6463014483451843)","(17714, 0.6459106206893921)","(5672, 0.6423570513725281)","(12884, 0.6419897079467773)","(12885, 0.6419875621795654)"
7876,"(17713, 0.6549642086029053)","(17714, 0.6545316576957703)","(12885, 0.6503553986549377)","(12884, 0.6502110362052917)","(5672, 0.6499449014663696)"
7877,"(17713, 0.654629647731781)","(17714, 0.6540696620941162)","(12885, 0.6491770148277283)","(12884, 0.6491253972053528)","(5672, 0.6487512588500977)"
7878,"(17713, 0.6485388278961182)","(17714, 0.6479130983352661)","(12885, 0.6437785029411316)","(12884, 0.6436544060707092)","(11150, 0.6426712870597839)"
7879,"(17713, 0.63991779088974)","(17714, 0.6396251916885376)","(5672, 0.6347270607948303)","(9684, 0.6343533992767334)","(12885, 0.6340690851211548)"
7880,"(17713, 0.6537443995475769)","(17714, 0.6531286239624023)","(12884, 0.6497042179107666)","(12885, 0.6496453881263733)","(9684, 0.649644136428833)"
7881,"(17713, 0.6594127416610718)","(17714, 0.6591917872428894)","(12884, 0.6559662222862244)","(12885, 0.6557532548904419)","(5672, 0.6555303335189819)"
7882,"(17713, 0.6469175219535828)","(17714, 0.6467406153678894)","(12884, 0.6423221230506897)","(12885, 0.6421481966972351)","(5672, 0.6417354345321655)"
7883,"(17713, 0.6508436799049377)","(17714, 0.6507335305213928)","(5672, 0.6466024518013)","(5671, 0.6457724571228027)","(11150, 0.6454771161079407)"
7884,"(17713, 0.6583256125450134)","(17714, 0.657916784286499)","(9684, 0.6542378067970276)","(12885, 0.6537240743637085)","(12884, 0.6536150574684143)"
7885,"(17713, 0.6606277823448181)","(17714, 0.6601701378822327)","(9684, 0.6566556692123413)","(12884, 0.6565858125686646)","(12885, 0.6565855145454407)"
7886,"(17713, 0.6407758593559265)","(17714, 0.6404780745506287)","(5672, 0.6359063386917114)","(12885, 0.6355478167533875)","(12884, 0.635421633720398)"
7887,"(17713, 0.6583819389343262)","(17714, 0.6579342484474182)","(12885, 0.653252899646759)","(5672, 0.6530858278274536)","(12884, 0.6530733704566956)"
7890,"(273, 0.9896622896194458)","(1415, 0.9509741067886353)","(1413, 0.9424227476119995)","(1414, 0.9402623772621155)","(1412, 0.9401621222496033)"
7891,"(273, 0.9852055907249451)","(1415, 0.9407603740692139)","(1413, 0.9309503436088562)","(1414, 0.9286483526229858)","(1412, 0.9286210536956787)"
7892,"(273, 0.9907960891723633)","(1415, 0.9528480172157288)","(1413, 0.9446355104446411)","(1414, 0.9425327777862549)","(1412, 0.9424843192100525)"
7893,"(273, 0.9874060750007629)","(1415, 0.9450319409370422)","(1413, 0.9360723495483398)","(1414, 0.9339123368263245)","(1412, 0.9337959885597229)"
7894,"(273, 0.9926546216011047)","(1415, 0.9569786787033081)","(1413, 0.9489907622337341)","(1414, 0.946977972984314)","(1412, 0.9467512369155884)"
7895,"(273, 0.9861272573471069)","(1415, 0.9428568482398987)","(1413, 0.9334187507629395)","(1412, 0.9311118125915527)","(1414, 0.9309866428375244)"
7897,"(1158, 0.6629279255867004)","(1157, 0.6615749001502991)","(11150, 0.6540846824645996)","(11149, 0.6537037491798401)","(4223, 0.650381326675415)"
7898,"(1158, 0.6630240678787231)","(1157, 0.6612654328346252)","(11150, 0.6537149548530579)","(11149, 0.6532496213912964)","(4223, 0.6503137350082397)"
7899,"(4563, 0.9972972273826599)","(4561, 0.997275710105896)","(4562, 0.997157871723175)","(4560, 0.9971286058425903)","(4567, 0.9970656633377075)"
7901,"(5671, 0.644255518913269)","(6472, 0.6412033438682556)","(5672, 0.6407212615013123)","(4893, 0.6399291753768921)","(6471, 0.637226402759552)"
7902,"(5671, 0.658402144908905)","(6472, 0.6556868553161621)","(5672, 0.654907763004303)","(4893, 0.6548600196838379)","(6471, 0.6518063545227051)"
7903,"(5671, 0.6567110419273376)","(6472, 0.6541492342948914)","(5672, 0.6531260013580322)","(4893, 0.6523013710975647)","(6471, 0.6503795385360718)"
7904,"(5671, 0.6571778059005737)","(6472, 0.6542211771011353)","(5672, 0.6536935567855835)","(4893, 0.6530678868293762)","(6471, 0.650367796421051)"
7905,"(5671, 0.6433342695236206)","(6472, 0.6397866010665894)","(5672, 0.6394646763801575)","(4893, 0.6377897262573242)","(6471, 0.6359851956367493)"
7906,"(5671, 0.6457872986793518)","(6472, 0.6432653069496155)","(5672, 0.6421238780021667)","(4893, 0.6416197419166565)","(6471, 0.6394793391227722)"
7907,"(5671, 0.6434662342071533)","(6472, 0.6406944394111633)","(5672, 0.6398888230323792)","(4893, 0.6385133266448975)","(6471, 0.6366151571273804)"
7908,"(5671, 0.6427733302116394)","(6472, 0.6393890976905823)","(5672, 0.6390974521636963)","(4893, 0.637269139289856)","(6471, 0.635644793510437)"
7909,"(5671, 0.6393565535545349)","(6472, 0.6369556784629822)","(5672, 0.6356216073036194)","(4893, 0.6351792216300964)","(6471, 0.6331804394721985)"
7910,"(5671, 0.6541322469711304)","(6472, 0.6514576077461243)","(5672, 0.6503977179527283)","(4893, 0.6494948863983154)","(6471, 0.6477332711219788)"
7911,"(5671, 0.6483140587806702)","(6472, 0.6454989910125732)","(5672, 0.6445319056510925)","(4893, 0.6436347365379333)","(6471, 0.6416471600532532)"
7912,"(5671, 0.6471052169799805)","(5672, 0.6433039307594299)","(6472, 0.6432618498802185)","(4893, 0.6419563293457031)","(6471, 0.6393616199493408)"
7913,"(1158, 0.6467491984367371)","(13109, 0.6420716047286987)","(12889, 0.6401365995407104)","(12887, 0.6354215145111084)","(13107, 0.6343426704406738)"
7914,"(1158, 0.6485924124717712)","(13109, 0.6426248550415039)","(12889, 0.6397053003311157)","(1157, 0.6365057229995728)","(13107, 0.635683000087738)"
7915,"(8197, 0.9417029023170471)","(8196, 0.9384158849716187)","(5994, 0.9366664886474609)","(5997, 0.9352608919143677)","(5998, 0.9320763945579529)"
7916,"(5994, 0.9382930397987366)","(8197, 0.9364233016967773)","(5997, 0.9363904595375061)","(8196, 0.935499906539917)","(3053, 0.9324402809143066)"
7917,"(8197, 0.9417204856872559)","(8196, 0.9399765133857727)","(3053, 0.9395812749862671)","(5994, 0.9334855079650879)","(5997, 0.9312425255775452)"
7918,"(5994, 0.9428198933601379)","(5997, 0.9402337074279785)","(5998, 0.9359380602836609)","(5996, 0.9350037574768066)","(8197, 0.931713879108429)"
7920,"(8974, 0.6511394381523132)","(8975, 0.6476419568061829)","(9683, 0.6454718112945557)","(15526, 0.6444540023803711)","(9684, 0.6395470499992371)"
7921,"(8974, 0.6510238647460938)","(8975, 0.6475331783294678)","(9683, 0.6448759436607361)","(15526, 0.6438447833061218)","(9684, 0.6388947367668152)"
7922,"(15526, 0.6549213528633118)","(958, 0.6538755297660828)","(15527, 0.6530196666717529)","(959, 0.6516672968864441)","(1039, 0.6502407193183899)"
7923,"(15526, 0.6463451385498047)","(958, 0.6450195908546448)","(15527, 0.6444571018218994)","(959, 0.6427276730537415)","(1039, 0.6405947804450989)"
7924,"(15526, 0.6448176503181458)","(958, 0.6437584161758423)","(15527, 0.6427318453788757)","(959, 0.6411053538322449)","(1039, 0.639492392539978)"
7925,"(15526, 0.6482635736465454)","(958, 0.6473228931427002)","(15527, 0.6464337706565857)","(959, 0.6449962258338928)","(1039, 0.6447176933288574)"
7926,"(958, 0.6483908295631409)","(15526, 0.6480810642242432)","(15527, 0.6461753845214844)","(959, 0.6459081768989563)","(1039, 0.644658625125885)"
7927,"(15526, 0.6436975598335266)","(958, 0.6432219743728638)","(15527, 0.6413611173629761)","(959, 0.6409309506416321)","(1039, 0.6384657025337219)"
7928,"(15526, 0.6500570774078369)","(958, 0.648713231086731)","(15527, 0.6477651000022888)","(959, 0.6465182304382324)","(1039, 0.6462426781654358)"
7929,"(6802, 0.6593848466873169)","(6801, 0.6575177311897278)","(6800, 0.6554978489875793)","(7756, 0.655105471611023)","(7755, 0.6531499028205872)"
7930,"(6802, 0.6555766463279724)","(7756, 0.6549973487854004)","(6801, 0.653852105140686)","(7755, 0.6534876823425293)","(1624, 0.652224063873291)"
7931,"(14248, 0.6762608289718628)","(14247, 0.6718899011611938)","(600, 0.6439723372459412)","(599, 0.6402735710144043)","(2830, 0.6391929984092712)"
7932,"(14248, 0.6753285527229309)","(14247, 0.6710934638977051)","(600, 0.6470272541046143)","(599, 0.6432708501815796)","(2830, 0.6389232277870178)"
7933,"(14248, 0.6736986637115479)","(14247, 0.669025719165802)","(600, 0.6489997506141663)","(599, 0.6450725793838501)","(2830, 0.637792706489563)"
7935,"(11385, 0.8982053399085999)","(11386, 0.8887926340103149)","(11384, 0.8857347965240479)","(8084, 0.8848952651023865)","(8089, 0.8774484395980835)"
7936,"(11385, 0.8967141509056091)","(11386, 0.8881742358207703)","(8084, 0.8856812119483948)","(11384, 0.8824113607406616)","(8089, 0.8793140649795532)"
7937,"(11385, 0.9212279319763184)","(11386, 0.9110937118530273)","(8084, 0.8958897590637207)","(11384, 0.8952991366386414)","(847, 0.88795405626297)"
7938,"(11385, 0.9036535024642944)","(11386, 0.8965373635292053)","(8084, 0.8886027336120605)","(11384, 0.8844408988952637)","(8083, 0.8752187490463257)"
7939,"(11385, 0.9169614911079407)","(11386, 0.9082066416740417)","(11384, 0.8990120887756348)","(8084, 0.8921067714691162)","(8089, 0.8844494223594666)"
7940,"(11385, 0.9093148708343506)","(11386, 0.9044103622436523)","(11384, 0.8932799696922302)","(8084, 0.8929660320281982)","(8085, 0.8851442933082581)"
7941,"(11385, 0.9269756078720093)","(11386, 0.9232253432273865)","(8084, 0.9062409400939941)","(11384, 0.9055808782577515)","(847, 0.8925883173942566)"
7943,"(1598, 0.9941549301147461)","(1596, 0.9926257729530334)","(1597, 0.9922255873680115)","(3803, 0.9902869462966919)","(1088, 0.9089527726173401)"
7944,"(1597, 0.9944632053375244)","(1598, 0.9943112730979919)","(1596, 0.9926117658615112)","(3803, 0.9906116724014282)","(1088, 0.9082040786743164)"
7945,"(1598, 0.9944528341293335)","(1597, 0.9944205284118652)","(1596, 0.9929457902908325)","(3803, 0.9909874796867371)","(1088, 0.9066720008850098)"
7946,"(1598, 0.9959278106689453)","(1596, 0.9946498274803162)","(1597, 0.9929421544075012)","(3803, 0.9928508400917053)","(1088, 0.9179429411888123)"
7947,"(1598, 0.9959771037101746)","(1596, 0.994554340839386)","(1597, 0.9942942261695862)","(3803, 0.9937223196029663)","(1088, 0.9191336631774902)"
7948,"(1598, 0.9953517317771912)","(1597, 0.9940138459205627)","(1596, 0.9937704205513)","(3803, 0.9926785230636597)","(1088, 0.9145404696464539)"
7949,"(11077, 0.7944541573524475)","(2644, 0.7936368584632874)","(6838, 0.7920049428939819)","(8190, 0.7912822961807251)","(11078, 0.7887645363807678)"
7950,"(10523, 0.8767170906066895)","(11077, 0.8739340305328369)","(8190, 0.8715541362762451)","(11079, 0.8704739809036255)","(11078, 0.870204508304596)"
7951,"(6838, 0.8868531584739685)","(8190, 0.8838099837303162)","(11079, 0.8783714175224304)","(10523, 0.8777924180030823)","(11077, 0.8766424655914307)"
7952,"(6838, 0.8885915875434875)","(8190, 0.8783948421478271)","(11077, 0.8749204277992249)","(11078, 0.8723394870758057)","(2644, 0.8702111840248108)"
7953,"(6838, 0.8748658895492554)","(10523, 0.8693555593490601)","(8190, 0.8670063614845276)","(11077, 0.8593364357948303)","(11078, 0.856727123260498)"
7954,"(6838, 0.8713609576225281)","(8190, 0.8602526187896729)","(11077, 0.8542940020561218)","(10523, 0.8537448644638062)","(11078, 0.8535214066505432)"
7955,"(8190, 0.8715497255325317)","(6838, 0.8715360164642334)","(11077, 0.8688943982124329)","(10523, 0.8687045574188232)","(11078, 0.8680813908576965)"
7956,"(1157, 0.6605226993560791)","(1076, 0.6574803590774536)","(1075, 0.6565759778022766)","(8974, 0.6538243889808655)","(2987, 0.6534656286239624)"
7957,"(1157, 0.6485600471496582)","(1076, 0.6460584998130798)","(1075, 0.6448371410369873)","(8974, 0.6430517435073853)","(2987, 0.6410848498344421)"
7958,"(1157, 0.6534609198570251)","(1076, 0.6517213582992554)","(1075, 0.6503242254257202)","(2987, 0.6475843191146851)","(8974, 0.6467658281326294)"
7959,"(1157, 0.6513081192970276)","(1076, 0.6486350297927856)","(1075, 0.6476137042045593)","(8974, 0.6450076699256897)","(2987, 0.6449070572853088)"
7960,"(1157, 0.6503854990005493)","(1076, 0.6461837887763977)","(1075, 0.644999623298645)","(8974, 0.6422574520111084)","(2987, 0.6419272422790527)"
7961,"(1157, 0.6559128165245056)","(1076, 0.6521711945533752)","(1075, 0.6512568593025208)","(8974, 0.6500973105430603)","(2987, 0.6483407616615295)"
7962,"(1157, 0.6609786152839661)","(1076, 0.6579173803329468)","(1075, 0.6568416953086853)","(8974, 0.6544474959373474)","(2987, 0.654245138168335)"
7963,"(1157, 0.6527639627456665)","(1076, 0.6502431631088257)","(1075, 0.6491745710372925)","(2987, 0.6463690400123596)","(8974, 0.6460427045822144)"
7964,"(1157, 0.6522795557975769)","(1076, 0.6482135057449341)","(1075, 0.6472886204719543)","(8974, 0.6455836892127991)","(2987, 0.6454346179962158)"
7965,"(1157, 0.6579806208610535)","(1076, 0.6546258926391602)","(1075, 0.6540011167526245)","(2987, 0.6511539816856384)","(8974, 0.6508466005325317)"
7966,"(1157, 0.6547529101371765)","(1076, 0.6529488563537598)","(1075, 0.6517711281776428)","(8974, 0.6492786407470703)","(2987, 0.6475921273231506)"
7967,"(14888, 0.9529778957366943)","(14891, 0.9506264328956604)","(14889, 0.9493357539176941)","(14892, 0.9484647512435913)","(14893, 0.9476695656776428)"
7968,"(14888, 0.946198582649231)","(14891, 0.942629873752594)","(14889, 0.9420104622840881)","(14892, 0.9405708312988281)","(14893, 0.9399236440658569)"
7969,"(14888, 0.9478928446769714)","(14891, 0.9447242021560669)","(14889, 0.9438655376434326)","(14892, 0.9427750110626221)","(14893, 0.9419951438903809)"
7970,"(14888, 0.9501065611839294)","(14889, 0.9458721876144409)","(14891, 0.9458567500114441)","(14892, 0.9442867040634155)","(14893, 0.9441757798194885)"
7971,"(14888, 0.9557855725288391)","(14891, 0.9543623924255371)","(14889, 0.9526365995407104)","(14892, 0.952355146408081)","(14893, 0.9508564472198486)"
7972,"(14888, 0.9491791129112244)","(14889, 0.9448217749595642)","(14893, 0.9433024525642395)","(14891, 0.9431382417678833)","(14892, 0.942268431186676)"
7973,"(14888, 0.9527137279510498)","(14891, 0.9492038488388062)","(14889, 0.9489385485649109)","(14892, 0.9476119875907898)","(14893, 0.9472784399986267)"
7974,"(4729, 0.9200801253318787)","(841, 0.9160892963409424)","(4726, 0.9139952063560486)","(4727, 0.9098296165466309)","(135, 0.9095101356506348)"
7975,"(4729, 0.9219491481781006)","(4728, 0.9173202514648438)","(4726, 0.917134165763855)","(841, 0.9146523475646973)","(4727, 0.9145046472549438)"
7976,"(4728, 0.910053551197052)","(4726, 0.9095445275306702)","(4727, 0.9086727499961853)","(4729, 0.9076070785522461)","(1631, 0.9074439406394958)"
7977,"(4729, 0.9192559123039246)","(4728, 0.9186699390411377)","(4727, 0.9176152348518372)","(4726, 0.9160013198852539)","(4724, 0.9153331518173218)"
7978,"(4729, 0.9193465113639832)","(4726, 0.9135668277740479)","(4727, 0.9125885367393494)","(841, 0.912034809589386)","(4728, 0.9094539880752563)"
7979,"(4729, 0.9207032322883606)","(4726, 0.9185253381729126)","(4728, 0.9152612686157227)","(4727, 0.9131425023078918)","(841, 0.9064003229141235)"
7980,"(3211, 0.9110690355300903)","(3212, 0.9047515392303467)","(3210, 0.9039655327796936)","(5165, 0.8933637738227844)","(5162, 0.8887858986854553)"
7981,"(3211, 0.9048413634300232)","(3210, 0.9001160264015198)","(3212, 0.8993089199066162)","(5165, 0.8893224596977234)","(7046, 0.8865726590156555)"
7982,"(3211, 0.905961811542511)","(3212, 0.9023418426513672)","(3210, 0.9006239771842957)","(7046, 0.8869698643684387)","(5162, 0.8845673203468323)"
7983,"(3211, 0.9038465619087219)","(3210, 0.8981495499610901)","(3212, 0.8966907262802124)","(5165, 0.8963471055030823)","(7050, 0.8911547660827637)"
7984,"(3211, 0.9018972516059875)","(3212, 0.8977890610694885)","(3210, 0.8940919041633606)","(7050, 0.8850200176239014)","(7046, 0.8837028741836548)"
7985,"(3211, 0.9145634770393372)","(3212, 0.9116755127906799)","(3210, 0.9097602367401123)","(7046, 0.8971959948539734)","(5165, 0.8970895409584045)"
7986,"(3211, 0.9053892493247986)","(3212, 0.9012814164161682)","(3210, 0.8999008536338806)","(7046, 0.8912047147750854)","(7050, 0.8813381791114807)"
7987,"(3211, 0.9094465374946594)","(3212, 0.903475821018219)","(3210, 0.8997851014137268)","(7046, 0.8962688446044922)","(7050, 0.8890848755836487)"
7988,"(3211, 0.9143924117088318)","(3212, 0.909755289554596)","(3210, 0.9084428548812866)","(7046, 0.903532087802887)","(5163, 0.9002046585083008)"
7989,"(3211, 0.9152454137802124)","(3210, 0.9103513956069946)","(3212, 0.9100635647773743)","(7046, 0.9018290042877197)","(7050, 0.8988850712776184)"
7990,"(3211, 0.9126942157745361)","(3212, 0.908979594707489)","(3210, 0.908358633518219)","(7046, 0.8911715745925903)","(7050, 0.8885942101478577)"
7991,"(2099, 0.6624389290809631)","(2098, 0.66209477186203)","(105, 0.6577853560447693)","(104, 0.6511905789375305)","(10106, 0.6451074481010437)"
7992,"(2099, 0.6637454032897949)","(2098, 0.6634361147880554)","(105, 0.6584379076957703)","(104, 0.6517388820648193)","(10106, 0.646358072757721)"
7993,"(2098, 0.6678197383880615)","(2099, 0.6677505373954773)","(105, 0.6629534363746643)","(104, 0.6560596823692322)","(10106, 0.6497652530670166)"
7994,"(2099, 0.662004292011261)","(2098, 0.6615564227104187)","(105, 0.6580223441123962)","(104, 0.6511581540107727)","(10106, 0.6445010900497437)"
7995,"(2099, 0.662065327167511)","(2098, 0.6618781089782715)","(105, 0.6570757031440735)","(104, 0.6504380702972412)","(10106, 0.6447688341140747)"
7996,"(2099, 0.6619372367858887)","(2098, 0.6611421704292297)","(105, 0.6573604345321655)","(104, 0.6507956385612488)","(10106, 0.643993079662323)"
7997,"(2099, 0.6630625128746033)","(2098, 0.662455141544342)","(105, 0.6596089601516724)","(104, 0.6532551050186157)","(10106, 0.6453045010566711)"
7998,"(2099, 0.6676112413406372)","(2098, 0.6672652363777161)","(105, 0.6635000705718994)","(104, 0.6568909883499146)","(10106, 0.6506299376487732)"
7999,"(2099, 0.6619621515274048)","(2098, 0.6619611382484436)","(105, 0.6569488048553467)","(104, 0.650229811668396)","(10106, 0.6453490257263184)"
8000,"(6438, 0.9928047060966492)","(5178, 0.9920449256896973)","(5177, 0.9918344616889954)","(5179, 0.9911910891532898)","(11492, 0.9786030054092407)"
8001,"(6438, 0.9956076145172119)","(5177, 0.9947360157966614)","(5178, 0.9946446418762207)","(5179, 0.9941117167472839)","(11492, 0.983673095703125)"
8002,"(6438, 0.9931188821792603)","(5178, 0.9924041032791138)","(5177, 0.9924020171165466)","(5179, 0.9917773008346558)","(11492, 0.9799247980117798)"
8003,"(6438, 0.9925586581230164)","(5178, 0.9917446970939636)","(5177, 0.9917193651199341)","(5179, 0.9911010265350342)","(11492, 0.9789934158325195)"
8004,"(6438, 0.991564929485321)","(5178, 0.9906858205795288)","(5177, 0.9905750155448914)","(5179, 0.9899933934211731)","(11492, 0.9774823188781738)"
8005,"(1786, 0.6660460233688354)","(1785, 0.6655101180076599)","(2099, 0.6507070064544678)","(3014, 0.6494352221488953)","(14208, 0.6482702493667603)"
8006,"(1786, 0.6624568104743958)","(1785, 0.6622231602668762)","(2099, 0.6482289433479309)","(3014, 0.6465794444084167)","(14208, 0.6447464227676392)"
8007,"(1786, 0.6647232174873352)","(1785, 0.6645474433898926)","(2099, 0.6503692269325256)","(14208, 0.6473432183265686)","(3014, 0.6472259759902954)"
8008,"(1786, 0.6647748351097107)","(1785, 0.6644127368927002)","(2099, 0.6489720344543457)","(3014, 0.6486956477165222)","(14208, 0.6479312777519226)"
8009,"(1786, 0.6657997965812683)","(1785, 0.6654515266418457)","(2099, 0.6505423784255981)","(3014, 0.6501474976539612)","(14208, 0.6488507390022278)"
8010,"(1786, 0.662912130355835)","(1785, 0.6625635027885437)","(2099, 0.647472620010376)","(3014, 0.6462417244911194)","(14208, 0.6452710032463074)"
8011,"(1786, 0.6655365228652954)","(1785, 0.6649696826934814)","(2099, 0.6505242586135864)","(3014, 0.6491025686264038)","(14208, 0.648277759552002)"
8012,"(1786, 0.6595823764801025)","(1785, 0.659129798412323)","(2099, 0.6447306871414185)","(3014, 0.6432192325592041)","(14208, 0.642447829246521)"
8013,"(1786, 0.6653639674186707)","(1785, 0.6650480031967163)","(2099, 0.6491783857345581)","(3014, 0.6483786106109619)","(14208, 0.6479343771934509)"
8014,"(1786, 0.662757396697998)","(1785, 0.6627156138420105)","(2099, 0.6473647356033325)","(3014, 0.645808756351471)","(14208, 0.6446294784545898)"
8015,"(1786, 0.6682283282279968)","(1785, 0.6678826212882996)","(2099, 0.6520000100135803)","(3014, 0.6513266563415527)","(14208, 0.6507469415664673)"
8016,"(8974, 0.6501265168190002)","(1708, 0.6499900817871094)","(1707, 0.6488640904426575)","(8975, 0.6478000283241272)","(2987, 0.6468607783317566)"
8017,"(1708, 0.6496846079826355)","(8974, 0.6492825746536255)","(1707, 0.64839106798172)","(2987, 0.6476100087165833)","(8975, 0.6472585797309875)"
8018,"(1708, 0.6502957344055176)","(1707, 0.6490607857704163)","(8974, 0.648833155632019)","(8975, 0.64678555727005)","(6689, 0.6461192965507507)"
8019,"(1708, 0.6525920033454895)","(8974, 0.6516726016998291)","(1707, 0.6515927910804749)","(2987, 0.6493368148803711)","(8975, 0.649289608001709)"
8020,"(8974, 0.6502853035926819)","(1708, 0.6496299505233765)","(1707, 0.6483910083770752)","(8975, 0.6477925777435303)","(2987, 0.6469545960426331)"
8021,"(1708, 0.64837646484375)","(8974, 0.6480398774147034)","(1707, 0.6471705436706543)","(8975, 0.6458424925804138)","(2987, 0.6452386379241943)"
8022,"(1158, 0.6465050578117371)","(5671, 0.6447842717170715)","(5672, 0.6434318423271179)","(1157, 0.6431616544723511)","(13107, 0.6401833891868591)"
8023,"(1158, 0.6474679708480835)","(5671, 0.6441313624382019)","(1157, 0.6439566612243652)","(5672, 0.6428210139274597)","(13107, 0.639405369758606)"
8024,"(1158, 0.6515906453132629)","(5671, 0.6485288739204407)","(1157, 0.6483375430107117)","(5672, 0.6472759246826172)","(13107, 0.6453286409378052)"
